platform,hour_msk,requests,share_pct
desktop,0,6232,1.6050934415758351
desktop,1,3612,0.9302948509261739
desktop,2,2477,0.6379679805493169
desktop,3,2234,0.5753816990501309
desktop,4,2805,0.7224465827375187
desktop,5,3989,1.0273937320998083
desktop,6,6122,1.5767622030371087
desktop,7,9375,2.41459419364144
desktop,8,13932,3.588280139286671
desktop,9,18494,4.763253868501844
desktop,10,20674,5.3247275049966
desktop,11,22120,5.697154513423856
desktop,12,23299,6.000813879216203
desktop,13,24227,6.2398265097974575
desktop,14,25475,6.561257288855006
desktop,15,26354,6.787649640450827
desktop,16,27013,6.957379514969196
desktop,17,25864,6.661446850596501
desktop,18,25349,6.528805142892464
desktop,19,25551,6.580831599118126
desktop,20,24834,6.396163435188429
desktop,21,21593,5.561422125151958
desktop,22,16121,4.152071786207323
desktop,23,10518,2.708981517730204
touch,0,14631,2.0150089312643833
touch,1,9008,1.240598759676684
touch,2,6906,0.9511073528338344
touch,3,6981,0.9614364943719952
touch,4,8881,1.2231080800053986
touch,5,12343,1.6999012534068954
touch,6,20066,2.763527388063093
touch,7,29063,4.002611206980847
touch,8,40620,5.594263057067819
touch,9,43138,5.941046768975665
touch,10,43224,5.952890851272756
touch,11,37157,5.117332161779147
touch,12,37206,5.124080534250744
touch,13,36577,5.037453467217371
touch,14,37108,5.110583789307548
touch,15,37216,5.125457753122499
touch,16,38022,5.236461594185933
touch,17,38510,5.303669875127564
touch,18,39496,5.439463655882584
touch,19,40641,5.5971552166985035
touch,20,46080,6.346224561045916
touch,21,43867,6.0414460247265875
touch,22,36430,5.0172083498025755
touch,23,22930,3.1579628729336555
